epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,390.255,0.34018,0.35957,0.04226,0.31867,0.84032,0.97401,0.94514,0.96418,0.9285,0.96165,0.93516,0.94075,0.91638,0.26737,0.35737,0.00333,0.24752,0.8156,0.0008912,0.0008912,0.0008912
58,396.828,0.33503,0.35359,0.04107,0.3136,0.8422,0.98544,0.92831,0.95803,0.92388,0.95722,0.92075,0.93746,0.91492,0.27894,0.38175,0.00231,0.26104,0.82492,0.0008714,0.0008714,0.0008714
59,403.438,0.32597,0.34957,0.03954,0.30548,0.83968,0.97881,0.94264,0.96647,0.9274,0.9613,0.92643,0.93713,0.91301,0.2601,0.34239,0.00258,0.2492,0.81352,0.0008516,0.0008516,0.0008516
60,410.044,0.33056,0.32816,0.03834,0.31213,0.84225,0.97178,0.94457,0.96134,0.92425,0.94837,0.92394,0.92751,0.90239,0.25995,0.3592,0.00377,0.24568,0.81545,0.0008318,0.0008318,0.0008318
61,416.637,0.32785,0.32886,0.04216,0.30823,0.84067,0.97676,0.94326,0.96589,0.92905,0.96385,0.93087,0.94591,0.92298,0.25662,0.3532,0.00265,0.23822,0.80947,0.000812,0.000812,0.000812
62,423.274,0.32602,0.32801,0.03915,0.30585,0.84035,0.97616,0.9389,0.96365,0.92646,0.96175,0.92519,0.9459,0.91773,0.26281,0.38539,0.00223,0.25185,0.81725,0.0007922,0.0007922,0.0007922
63,429.936,0.32262,0.32684,0.04101,0.30602,0.83899,0.97051,0.94387,0.96,0.92346,0.95605,0.93641,0.93959,0.92246,0.25689,0.37772,0.00252,0.24229,0.81361,0.0007724,0.0007724,0.0007724
64,436.592,0.32483,0.31268,0.04127,0.30573,0.8398,0.98227,0.93641,0.96376,0.92597,0.96014,0.93098,0.94608,0.92428,0.24759,0.37187,0.00373,0.24214,0.81516,0.0007526,0.0007526,0.0007526
65,443.209,0.31898,0.28951,0.03825,0.29568,0.83837,0.97693,0.94015,0.96232,0.92772,0.96118,0.93766,0.94523,0.92273,0.25725,0.36225,0.00195,0.2432,0.81696,0.0007328,0.0007328,0.0007328
66,449.794,0.32141,0.29688,0.03769,0.29794,0.83816,0.9608,0.93641,0.96145,0.92922,0.9501,0.92599,0.9396,0.92075,0.24518,0.33961,0.00216,0.24988,0.80922,0.000713,0.000713,0.000713
67,456.345,0.31256,0.30918,0.03771,0.30064,0.8384,0.98171,0.93695,0.96247,0.92827,0.96206,0.92519,0.946,0.92376,0.24992,0.35289,0.00404,0.25208,0.81057,0.0006932,0.0006932,0.0006932
68,462.997,0.3139,0.29911,0.03789,0.29519,0.83858,0.977,0.94264,0.96511,0.9288,0.96441,0.93392,0.9483,0.921,0.24503,0.35121,0.00276,0.24865,0.80837,0.0006734,0.0006734,0.0006734
69,469.628,0.31789,0.30006,0.03804,0.29697,0.83639,0.96553,0.94292,0.96006,0.92604,0.95535,0.9338,0.9459,0.9209,0.2487,0.3521,0.0032,0.24164,0.8098,0.0006536,0.0006536,0.0006536
70,476.244,0.31209,0.2869,0.03672,0.29735,0.83653,0.9793,0.94389,0.96053,0.9259,0.96561,0.93392,0.94576,0.92245,0.24957,0.31754,0.00337,0.23067,0.81109,0.0006338,0.0006338,0.0006338
71,482.813,0.308,0.28194,0.03493,0.2887,0.83344,0.97983,0.94264,0.96477,0.92918,0.96822,0.93516,0.94978,0.92517,0.24836,0.3196,0.00248,0.23573,0.81392,0.000614,0.000614,0.000614
72,489.41,0.30647,0.27633,0.03329,0.28735,0.83403,0.98303,0.93872,0.96477,0.92697,0.96884,0.93038,0.94609,0.92548,0.23973,0.32789,0.00269,0.22745,0.80992,0.0005942,0.0005942,0.0005942
73,495.947,0.30437,0.27423,0.03422,0.28715,0.83466,0.98316,0.94656,0.96108,0.92542,0.97079,0.93766,0.94915,0.92556,0.24415,0.33069,0.00283,0.22431,0.81061,0.0005744,0.0005744,0.0005744
74,502.552,0.30446,0.29423,0.0371,0.28608,0.83159,0.98056,0.94363,0.96388,0.92263,0.97025,0.93766,0.94894,0.92655,0.24365,0.3146,0.0023,0.2254,0.80673,0.0005546,0.0005546,0.0005546
75,509.115,0.30337,0.2831,0.03561,0.28857,0.83413,0.98438,0.94301,0.96356,0.92725,0.96736,0.94015,0.94752,0.91865,0.24105,0.35884,0.00298,0.23492,0.80783,0.0005348,0.0005348,0.0005348
76,515.742,0.30029,0.27706,0.03641,0.28315,0.83346,0.98273,0.94888,0.96426,0.92717,0.96688,0.93392,0.93747,0.91522,0.26012,0.36715,0.00328,0.23931,0.81662,0.000515,0.000515,0.000515
77,522.356,0.30475,0.26901,0.03685,0.28433,0.8314,0.96822,0.94973,0.96344,0.92429,0.95547,0.93646,0.94477,0.91902,0.24859,0.34102,0.00225,0.23877,0.81584,0.0004952,0.0004952,0.0004952
78,528.934,0.29772,0.26175,0.03251,0.27971,0.82986,0.98311,0.94264,0.96014,0.92565,0.96181,0.93142,0.94136,0.91867,0.25092,0.37152,0.00325,0.2334,0.81255,0.0004754,0.0004754,0.0004754
79,535.495,0.29317,0.24231,0.03394,0.27796,0.83071,0.97799,0.94208,0.96017,0.92322,0.95987,0.92462,0.93623,0.9122,0.24747,0.36345,0.00352,0.24574,0.81518,0.0004556,0.0004556,0.0004556
80,542.088,0.29762,0.27793,0.03322,0.27569,0.82815,0.98131,0.94638,0.96233,0.92435,0.95616,0.92519,0.93478,0.91206,0.23982,0.37604,0.00314,0.22665,0.81445,0.0004358,0.0004358,0.0004358
81,548.662,0.29549,0.26396,0.03439,0.27694,0.83011,0.97941,0.9492,0.96363,0.92748,0.95767,0.93267,0.94452,0.91857,0.24248,0.32467,0.00274,0.22333,0.81306,0.000416,0.000416,0.000416
82,555.227,0.2872,0.25259,0.0335,0.27296,0.82937,0.97666,0.93919,0.96134,0.92539,0.96805,0.93392,0.94947,0.92687,0.24909,0.30821,0.0027,0.22727,0.81942,0.0003962,0.0003962,0.0003962
83,561.833,0.28762,0.25007,0.03429,0.27156,0.82835,0.98178,0.94064,0.96324,0.9266,0.95744,0.93017,0.93486,0.90864,0.24802,0.40502,0.00244,0.22162,0.81595,0.0003764,0.0003764,0.0003764
84,568.39,0.28157,0.23084,0.03246,0.26735,0.82731,0.98303,0.93895,0.95954,0.92473,0.96878,0.92873,0.94268,0.92146,0.23683,0.36665,0.00292,0.2207,0.81523,0.0003566,0.0003566,0.0003566
