t,cmd_pitch,cmd_roll
3.446,0.212188339418242,0.000512565580953844
3.447,0.212373181465432,0.000492081659277516
3.448,0.212558023512623,0.000471597737601189
3.449,0.212740852502661,0.000454804567539873
3.45,0.212923483389891,0.000438374600410355
3.451,0.213106114277121,0.000421944633280837
3.452,0.213288745164351,0.00040551466615132
3.453,0.213471376051581,0.000389084699021795
3.454,0.213651497094099,0.000377047921722396
3.455,0.21383076040906,0.000366512496266749
3.456,0.214010023724021,0.000355977070811102
3.457,0.214189287038982,0.000345441645355456
3.458,0.214365613821166,0.00033868711234708
3.459,0.214540127411565,0.000334267129519579
3.46,0.214714641001963,0.000329847146692077
3.461,0.214889154592362,0.000325427163864576
3.462,0.215060958955886,0.000323543580223621
3.463,0.215229957115869,0.000324287186075479
3.464,0.215398955275852,0.000325030791927336
3.465,0.215565505419851,0.000327320731294054
3.466,0.215728714994291,0.000331720801763883
3.467,0.215891924568731,0.00033612087223371
3.468,0.216052832357854,0.000341433937628969
3.469,0.216209550704911,0.000348408730257634
3.47,0.216366269051968,0.000355383522886301
3.471,0.216521009539689,0.000362715904166847
3.472,0.216670819415552,0.000370939719340201
3.473,0.216820629291414,0.000379163534513555
3.474,0.216968915588486,0.000387350638977474
3.475,0.217111736256311,0.00039540604882319
3.476,0.217254556924136,0.000403461458668907
3.477,0.217396372495498,0.000411288500824816
3.478,0.217532478445608,0.000417818261512606
3.479,0.217668584395717,0.000424348022200394
3.48,0.217804133503739,0.00043061556070794
3.481,0.217933397043473,0.000433923165942617
3.482,0.218062660583208,0.000437230771177294
3.483,0.218191924122942,0.000440538376411971
3.484,0.218320396570121,0.000443250804896276
3.485,0.218443298874363,0.000441772548546961
3.486,0.218566201178604,0.000440294292197646
3.487,0.218689103482846,0.000438816035848331
3.488,0.218811280378688,0.00043652210320772
3.489,0.218929847796016,0.00043016953814886
3.49,0.219048415213345,0.000423816973089997
3.491,0.219166958085221,0.000417424485602304
3.492,0.219282877131099,0.000406764425203787
3.493,0.219398796176976,0.00039610436480527
3.494,0.219514715222853,0.000385444304406749
3.495,0.21962911417527,0.000371540635051553
3.496,0.219743247385143,0.000357069918391477
3.497,0.219857380595015,0.000342599201731401
3.498,0.219970724333446,0.000326202704682627
3.499,0.22008371853295,0.000308953567279235
3.5,0.220196712732454,0.000291704429875843
3.501,0.22030881540065,0.000272811080769581
3.502,0.220420918068846,0.00025391773166331
3.503,0.220533020737042,0.000235024382557047
3.504,0.220644374133133,0.000215860994667515
3.505,0.220755475895081,0.000196606917457868
3.506,0.220866577657029,0.000177352840248212
3.507,0.220977044857202,0.000158744962398166
3.508,0.221086870316106,0.00014079059506943
3.509,0.221196695775011,0.000122836227740694
3.51,0.221306089823809,0.000105584636909626
3.511,0.221414160021059,9.04896292031685e-05
3.512,0.221522230218308,7.5394621496711e-05
3.513,0.221630300415558,6.02996137902535e-05
3.514,0.221736016429681,4.92845781884468e-05
3.515,0.221841719126077,3.82926231850567e-05
3.516,0.221947421822474,2.73006681816666e-05
3.517,0.22205085494626,1.99192388859744e-05
3.518,0.222153502906541,1.3786878690627e-05
3.519,0.222256150866823,7.65451849528229e-06
3.52,0.222356945681186,3.99920272330796e-06
3.521,0.222455823729818,2.90597006722852e-06
3.522,0.22255470177845,1.8127374111486e-06
3.523,0.222652506457316,1.83508661687372e-06
3.524,0.222746915034375,5.38709512497885e-06
3.525,0.222841323611434,8.93910363308398e-06
3.526,0.222935732188493,1.24911121411907e-05
3.527,0.223025094640959,1.97610597974799e-05
3.528,0.223114399676275,2.70733118931473e-05
3.529,0.22320370471159,3.43855639888147e-05
3.53,0.223288871871754,4.35518905204023e-05
3.531,0.223372565036074,5.33786763245291e-05
3.532,0.223456258200393,6.32054621286558e-05
3.533,0.223537070094047,7.35452083724775e-05
3.534,0.223614833948498,8.4427605311582e-05
3.535,0.223692597802948,9.53100022506816e-05
3.536,0.223768953613552,0.000106081641122583
3.537,0.223840713800785,0.000116491783892574
3.538,0.223912473988019,0.00012690192666257
3.539,0.223984234175253,0.000137312069432561
3.54,0.22405027788936,0.000145819874584442
3.541,0.224116223478177,0.000154295025436251
3.542,0.224182169066994,0.000162770176288064
3.543,0.224243737314907,0.000168503200719066
