t,x_ref,x_meas,pitch_deg
0.314,0,0.000201972992913031,0.266972394700464
0.316,0,0.00018866216013864,0.213977444982843
0.318,0,0.000174173517817282,0.156501087412351
0.32,0,0.000158905273642458,0.0959973831374632
0.322,0,0.000143273342502114,0.0339883404868059
0.324,0,0.000127679420068749,-0.0280472572023697
0.326,0,0.000112548387911064,-0.0885521063565514
0.328,0,9.82518139821689e-05,-0.146139028524181
0.33,0,8.50794273390332e-05,-0.199712389967315
0.332,0,7.33482882320422e-05,-0.248068490232305
0.334,0,6.33099776865506e-05,-0.290229245793793
0.336,0,5.50737998278863e-05,-0.325730716292403
0.338,0,4.88168942748192e-05,-0.353852751609503
0.34,0,4.46293522539189e-05,-0.37418792836311
0.342,0,4.25010192267859e-05,-0.386701401147255
0.344,0,4.2561677180875e-05,-0.39081181485175
0.346,0,4.4610136639339e-05,-0.387200129498953
0.348,0,4.85502080115767e-05,-0.376138029034209
0.35,0,5.41892360904049e-05,-0.358253559402864
0.352,0,6.11849838438035e-05,-0.334756696378233
0.354,0,6.92556872192989e-05,-0.306580622539482
0.356,0,7.79685848315408e-05,-0.275238106756044
0.358,0,8.68734725866698e-05,-0.242325284415073
0.36,0,9.55489853054249e-05,-0.209336466608934
0.362,0,0.000103553614064719,-0.177796523939065
0.364,0,0.000110493230835762,-0.149115981970899
0.366,0,0.000116036029835591,-0.12448192832208
0.368,0,0.000119981523490761,-0.104657376122861
0.37,0,0.00012204924277028,-0.090633617552583
0.372,0,0.000122247878544821,-0.0824864978870069
0.374,0,0.000120477679922831,-0.0806095314323583
0.376,0,0.000116776725882388,-0.0849450340746337
0.378,0,0.000111053560691679,-0.0958408013225802
0.38,0,0.000103559077302342,-0.112513709369284
0.382,0,9.43204278907057e-05,-0.134886129653279
0.384,0,8.35667322053159e-05,-0.162193200015665
0.386,0,7.16414017819707e-05,-0.193279285942116
0.388,0,5.87884051571457e-05,-0.227294489537588
0.39,0,4.5357782666586e-05,-0.263013220412356
0.392,0,3.17481436527328e-05,-0.299054979348779
0.394,0,1.83482222914723e-05,-0.334051235418005
0.396,0,5.52990326464365e-06,-0.366695538811096
0.398,0,-6.37645457503216e-06,-0.395818968614372
0.4,0,-1.70348333184871e-05,-0.420216594531504
0.402,0,-2.61596254681905e-05,-0.438856925134793
0.404,0,-3.36901865429664e-05,-0.451527916604715
0.406,0,-3.94257712069182e-05,-0.457474626293913
0.408,0,-4.32772920176493e-05,-0.456341512435063
0.41,0,-4.5279826549354e-05,-0.44822256087471
0.412,0,-4.54063120154712e-05,-0.432950959500533
0.414,0,-4.38861254649936e-05,-0.411323495231235
0.416,0,-4.07313477487367e-05,-0.383281596191282
0.418,0,-3.62095938899232e-05,-0.349754882402843
0.42,0,-3.05012776421997e-05,-0.311331716595338
0.422,0,-2.38047373498144e-05,-0.268644379987378
0.424,0,-1.64342323724628e-05,-0.222833020506342
0.426,0,-8.63307232764883e-06,-0.174749667910606
0.428,0,-6.66960810386711e-07,-0.125330904905121
0.43,0,7.19778780766328e-06,-0.0755767997374957
0.432,0,1.470095308157e-05,-0.0264422450364716
0.434,0,2.16116619339198e-05,0.0211798458286877
0.436,0,2.76192630410553e-05,0.0661660257470538
0.438,0,3.25266084659737e-05,0.107728406336754
0.44,0,3.61642707837039e-05,0.145193255811622
0.442,0,3.82489025117316e-05,0.177510048693879
0.444,0,3.87399394545673e-05,0.204426615850724
0.446,0,3.75388598622532e-05,0.225509608876785
0.448,0,3.46612973518242e-05,0.240716112625029
0.45,0,3.00955902393497e-05,0.249898838760363
0.452,0,2.3970333753462e-05,0.253401805344474
0.454,0,1.64234510186631e-05,0.251597250492418
0.456,0,7.65037167450239e-06,0.245064897685828
0.458,0,-2.14855541556264e-06,0.234395878058974
0.46,0,-1.27688804146277e-05,0.220194590402338
0.462,0,-2.39655529040615e-05,0.203272023408639
0.464,0,-3.55621191329136e-05,0.184151133664285
0.466,0,-4.73537581702387e-05,0.163519611796021
0.468,0,-5.91504186127286e-05,0.142018825002928
0.47,0,-7.07543051730589e-05,0.120328826089527
0.472,0,-8.19760581105841e-05,0.0991501848989941
0.474,0,-9.26278944002047e-05,0.0791624388548364
0.476,0,-0.000102446876499244,0.0612603021290562
0.478,0,-0.000111323002287262,0.0459407507105344
0.48,0,-0.000118984885217177,0.0341310998781957
0.482,0,-0.000125335035153039,0.0262608190196925
0.484,0,-0.000130239532196301,0.0228480540927913
0.486,0,-0.000133616487833302,0.0242447745312265
0.488,0,-0.00013551323901208,0.0303769779867017
0.49,0,-0.000135910903990796,0.0413694923269979
0.492,0,-0.000134912917933723,0.056938989577209
0.494,0,-0.000132657174230636,0.0766767944550402
0.496,0,-0.000129303493552438,0.100093348695675
0.498,0,-0.000125065680431633,0.126509096483419
0.5,0,-0.000120220919419113,0.155015859931459
0.502,0,-0.000114974208765844,0.184939957850846
0.504,0,-0.000109611529212645,0.21530476003486
0.506,0,-0.000104391853536366,0.245207455559322
0.508,0,-9.96048913097741e-05,0.273614819368158
0.51,0,-9.54516256101641e-05,0.299791984355653
0.512,0,-9.22152319340497e-05,0.322707602951631
0.514,0,-9.01511723969217e-05,0.341411993684531
0.516,0,-8.93743992723029e-05,0.355451146957188
0.518,0,-9.01258343915814e-05,0.363893952112946
0.52,0,-9.23712850189673e-05,0.36679795853631
0.522,0,-9.62298319978792e-05,0.363644717784634
0.524,0,-0.000101697057175088,0.354359625221794
0.526,0,-0.000108730635045327,0.339004492169036
0.528,0,-0.000117282602380001,0.317655848528255
0.53,0,-0.000127305643038576,0.290361393173482
0.532,0,-0.000138514075839798,0.258139523555675
0.534,0,-0.000150800071625912,0.221282903723926
0.536,0,-0.000163950212103356,0.180484390007422
0.538,0,-0.000177641906686281,0.136888813947106
0.54,0,-0.000191545370909018,0.0916565504872217
0.542,0,-0.000205314111061231,0.0460564967327757
0.544,0,-0.000218575385155009,0.00140964522355099
0.546,0,-0.000230957624027934,-0.0409173827787628
0.548,0,-0.000242160159762126,-0.0797843041960203
0.55,0,-0.000251925050368789,-0.114209210214614
0.552,0,-0.000259888606513697,-0.142863983313437
0.554,0,-0.000266095071813883,-0.165744584616843
0.556,0,-0.000270289969233489,-0.18187909991978
0.558,0,-0.000272504665150049,-0.191235726768448
0.56,0,-0.000272803812638743,-0.193914838271556
0.562,0,-0.000271145498188913,-0.189635727420559
0.564,0,-0.00026766745455227,-0.178743329847936
0.566,0,-0.000262582262021063,-0.161871704318103
0.568,0,-0.000256026320396124,-0.139386175852668
0.57,0,-0.000248197990265273,-0.111884351245684
0.572,0,-0.000239354933782386,-0.0802019325312776
0.574,0,-0.000229806316620539,-0.0453799038130899
0.576,0,-0.000219869820902211,-0.00853616697448829
0.578,0,-0.000209855727742057,0.0292522547902381
0.58,0,-0.000200108814329635,0.0667609868492268
0.582,0,-0.000190921231450189,0.102882713812794
