t,x_ref,x_meas
11.842,0.123932000000199,0.121979938003639
11.844,0.123984000000199,0.122051004457265
11.846,0.124036000000199,0.122121921273415
11.848,0.124088000000199,0.122192631096845
11.85,0.124140000000199,0.122263066658658
11.852,0.124184000000199,0.122333407398392
11.854,0.124228000000199,0.12240351802803
11.856,0.124272000000199,0.12247347988621
11.858,0.1243160000002,0.122543065515156
11.86,0.1243600000002,0.122612481487703
11.862,0.1243950000002,0.122681556866584
11.864,0.1244300000002,0.122750215069414
11.866,0.1244650000002,0.122818649556884
11.868,0.1245000000002,0.122886308581793
11.87,0.1245350000002,0.122953619756513
11.872,0.1245600000002,0.123020328431133
11.874,0.1245850000002,0.12308624475069
11.876,0.1246100000002,0.123151763937713
11.878,0.1246350000002,0.123216137545026
11.88,0.1246600000002,0.123279955557796
11.882,0.124674000000201,0.12334301019226
11.884,0.124688000000201,0.123405133153806
11.886,0.124702000000201,0.123466453405873
11.888,0.124716000000201,0.123527008340982
11.89,0.124730000000201,0.123586761851206
11.892,0.124732000000201,0.123645539818391
11.894,0.124734000000201,0.123703592532847
11.896,0.124736000000201,0.123760833428663
11.898,0.124738000000201,0.123817370107511
11.9,0.124740000000201,0.123873107443017
11.902,0.124731000000202,0.123928203656895
11.904,0.124722000000202,0.123982421690735
11.906,0.124713000000202,0.124035840280685
11.908,0.124704000000202,0.124088506112605
11.91,0.124695000000202,0.124140076782804
11.912,0.124676000000202,0.124190750215202
11.914,0.124657000000202,0.124240569277331
11.916,0.124638000000202,0.124289513822082
11.918,0.124619000000202,0.12433725848609
11.92,0.124600000000202,0.124383801942931
11.922,0.124572000000203,0.12442982584819
11.924,0.124544000000203,0.124474279911242
11.926,0.124516000000203,0.124518007746455
11.928,0.124488000000203,0.12456074409518
11.93,0.124460000000203,0.124602247775765
11.932,0.124424000000203,0.124643236348075
11.934,0.124388000000203,0.124682941533453
11.936,0.124352000000203,0.124721745241232
11.938,0.124316000000203,0.124759754356158
11.94,0.124280000000203,0.124796991929521
11.942,0.124237000000204,0.124833475913153
11.944,0.124194000000204,0.124868846787706
11.946,0.124151000000204,0.124903737076861
11.948,0.124108000000204,0.12493783597249
11.95,0.124065000000204,0.124970985706865
11.952,0.124016000000204,0.125003669188006
11.954,0.123967000000204,0.125035142494241
11.956,0.123918000000204,0.125065982144699
11.958,0.123869000000204,0.125096054457299
11.96,0.123820000000204,0.125124931502014
11.962,0.123766000000205,0.125153267804437
11.964,0.123712000000205,0.125180316172294
11.966,0.123658000000205,0.1252065121912
11.968,0.123604000000205,0.125231942448064
11.97,0.123550000000205,0.125255886949501
11.972,0.123492000000205,0.125279217420771
11.974,0.123434000000205,0.12530123748444
11.976,0.123376000000205,0.125322190437315
11.978,0.123318000000205,0.12534243559447
11.98,0.123260000000205,0.12536094443744
11.982,0.123199000000205,0.125378797060866
11.984,0.123138000000205,0.125395397295375
11.986,0.123077000000206,0.125410748079873
11.988,0.123016000000206,0.12542543654187
11.99,0.122955000000206,0.125438337357665
11.992,0.122892000000206,0.125450518156915
11.994,0.122829000000206,0.125461582178615
11.996,0.122766000000206,0.125471289925851
11.998,0.122703000000206,0.125480385081041
12,0.122640000000206,0.125488155821037
12.002,0.122576000000206,0.125494239981865
12.004,0.122512000000206,0.125500324142694
12.006,0.122448000000207,0.125504543473077
12.008,0.122384000000207,0.125508486893832
12.01,0.122320000000207,0.125510912674416
12.012,0.122256000000207,0.125512811390929
12.014,0.122192000000207,0.125513498469282
12.016,0.122128000000207,0.125513421724817
12.018,0.122064000000207,0.125512397389557
12.02,0.122000000000207,0.125510364669254
12.022,0.121936000000207,0.125507620693542
12.024,0.121872000000207,0.125503587672268
12.026,0.121808000000208,0.125499077339749
12.028,0.121744000000208,0.125492938741361
12.03,0.121680000000208,0.1254866082937
12.032,0.121616000000208,0.125478508124009
12.034,0.121552000000208,0.125469543309085
12.036,0.121488000000208,0.125459650609023
12.038,0.121424000000208,0.125448141871244
12.04,0.121360000000208,0.125435831510576
12.042,0.121296000000208,0.125421873500053
12.044,0.121232000000208,0.125407555061868
12.046,0.121168000000209,0.125391101312441
12.048,0.121104000000209,0.125374569089632
12.05,0.121040000000209,0.125356014970856
12.052,0.120976000000209,0.12533655286904
12.054,0.120912000000209,0.125316248425436
12.056,0.120848000000209,0.125294388940744
12.058,0.120784000000209,0.125271692506909
12.06,0.120720000000209,0.125248223495202
12.062,0.120656000000209,0.125223339019266
12.064,0.120592000000209,0.125197532154321
12.066,0.120528000000209,0.125170949656524
12.068,0.12046400000021,0.12514363101969
