t,x_ref,x_meas
16.708,0.993478999999504,0.996038910765345
16.71,0.993484999999503,0.99603267675376
16.712,0.993491999999503,0.996026512143988
16.714,0.993498999999503,0.996020418498363
16.716,0.993505999999503,0.996014405237899
16.718,0.993512999999503,0.99600853189571
16.72,0.993519999999502,0.996002813894031
16.722,0.993527999999502,0.995997228687534
16.724,0.993535999999502,0.995991790147675
16.726,0.993543999999502,0.995986617237251
16.728,0.993551999999502,0.995981528071413
16.73,0.993559999999502,0.995976666417293
16.732,0.993568999999502,0.995971954098855
16.734,0.993577999999502,0.995967375487706
16.736,0.993586999999501,0.995962978871648
16.738,0.993595999999501,0.99595870071785
16.74,0.993604999999501,0.995954526812148
16.742,0.993614999999501,0.995950475558475
16.744,0.993624999999501,0.995946500571492
16.746,0.9936349999995,0.995942583775672
16.748,0.993644999999501,0.995938717567071
16.75,0.9936549999995,0.995934890158465
16.752,0.9936659999995,0.995931083206177
16.754,0.9936769999995,0.995927311254017
16.756,0.9936879999995,0.995923549063708
16.758,0.993698999999499,0.995919814218832
16.76,0.993709999999499,0.995916100374471
16.762,0.993721999999499,0.995912415649953
16.764,0.993733999999499,0.995908786221191
16.766,0.993745999999499,0.995905224783282
16.768,0.993757999999499,0.995901734187832
16.77,0.993769999999498,0.995898326160828
16.772,0.993782999999498,0.995895082819413
16.774,0.993795999999498,0.995891984453964
16.776,0.993808999999498,0.995888977652212
16.778,0.993821999999498,0.995886244940157
16.78,0.993834999999498,0.995883609543019
16.782,0.993848999999497,0.995881244368487
16.784,0.993862999999497,0.995879058778325
16.786,0.993876999999497,0.995877052775827
16.788,0.993890999999497,0.995875336228881
16.79,0.993904999999497,0.995873726605037
16.792,0.993919999999497,0.995872436294221
16.794,0.993934999999497,0.995871275601654
16.796,0.993949999999496,0.995870316269188
16.798,0.993964999999496,0.995869565116019
16.8,0.993979999999496,0.995868908005037
16.802,0.993995999999496,0.995868517846346
16.804,0.994011999999496,0.99586819976338
16.806,0.994027999999496,0.995868054502091
16.808,0.994043999999495,0.995868035748253
16.81,0.994059999999495,0.995868108431774
16.812,0.994076999999495,0.995868361224729
16.814,0.994093999999495,0.995868675071862
16.816,0.994110999999495,0.995869158542538
16.818,0.994127999999495,0.995869745656555
16.82,0.994144999999494,0.995870448672217
16.822,0.994162999999494,0.995871340324094
16.824,0.994180999999494,0.995872307073097
16.826,0.994198999999494,0.995873533876294
16.828,0.994216999999494,0.995874875116894
16.83,0.994234999999493,0.995876416560444
16.832,0.994253999999493,0.995878188383552
16.834,0.994272999999493,0.995880078402565
16.836,0.994291999999493,0.99588232939934
16.838,0.994310999999493,0.995884697569679
16.84,0.994329999999493,0.995887361458137
16.842,0.994349999999493,0.995890251318862
16.844,0.994369999999492,0.995893324174749
16.846,0.994389999999492,0.995896747536402
16.848,0.994409999999492,0.995900292871072
16.85,0.994429999999492,0.995904186470661
16.852,0.994450999999492,0.995908256530517
16.854,0.994471999999492,0.995912547411431
16.856,0.994492999999492,0.99591712082428
16.858,0.994513999999491,0.995921806769594
16.86,0.994534999999491,0.995926840890737
16.862,0.994556999999491,0.995931990464403
16.864,0.994578999999491,0.995937368403329
16.866,0.994600999999491,0.995942955081651
16.868,0.994622999999491,0.995948662780374
16.87,0.994644999999491,0.995954670830187
16.872,0.994667999999491,0.995960775173373
16.874,0.99469099999949,0.995967130088792
16.876,0.99471399999949,0.995973659837122
16.878,0.99473699999949,0.995980348002154
16.88,0.99475999999949,0.995987321861732
16.882,0.99478399999949,0.995994401170712
16.884,0.994807999999489,0.996001802494758
16.886,0.994831999999489,0.996009364169371
16.888,0.994855999999489,0.996017150713877
16.89,0.994879999999489,0.996025181835172
16.892,0.994902999999489,0.99603346048048
16.894,0.994925999999489,0.99604197295117
16.896,0.994948999999488,0.996050724353355
16.898,0.994971999999488,0.996059776935089
16.9,0.994994999999488,0.996068979819767
16.902,0.995016999999488,0.996078415919982
16.904,0.995038999999488,0.996088037622152
16.906,0.995060999999488,0.996097824353353
16.908,0.995082999999487,0.996107755328013
16.91,0.995104999999487,0.996117769688263
16.912,0.995125999999487,0.996127833699438
16.914,0.995146999999487,0.996137910735482
16.916,0.995167999999487,0.996147982703907
16.918,0.995188999999487,0.996157982002383
16.92,0.995209999999487,0.99616791484167
16.922,0.995229999999486,0.996177779782493
16.924,0.995249999999486,0.996187476334168
16.926,0.995269999999486,0.996197077647252
16.928,0.995289999999486,0.996206585170303
16.93,0.995309999999486,0.996215926242575
16.932,0.995328999999486,0.99622519276331
16.934,0.995347999999486,0.996234392639762
16.936,0.995366999999485,0.996243517788295
16.938,0.995385999999485,0.996252639076226
16.94,0.995404999999485,0.996261764001792
16.942,0.995422999999485,0.996270957206953
16.944,0.995440999999485,0.996280244719931
16.946,0.995458999999485,0.996289621405136
16.948,0.995476999999485,0.996299203462206
16.95,0.995494999999484,0.996308968513502
16.952,0.995511999999484,0.996318888747956
16.954,0.995528999999484,0.996329092585421
16.956,0.995545999999484,0.996339521474556
16.958,0.995562999999484,0.996350124773225
16.96,0.995579999999484,0.996361003512082
16.962,0.995595999999484,0.996372082709162
16.964,0.995611999999483,0.996383301783964
16.966,0.995627999999483,0.996394711636812
16.968,0.995643999999483,0.996406239604925
16.97,0.995659999999483,0.996417836224359
16.972,0.995674999999483,0.996429503219323
16.974,0.995689999999483,0.996441182249514
16.976,0.995704999999482,0.996452853469573
16.978,0.995719999999482,0.996464488162548
16.98,0.995734999999482,0.99647604744023
16.982,0.995748999999482,0.996487547238738
16.984,0.995762999999482,0.996498952688121
16.986,0.995776999999482,0.996510246445926
16.988,0.995790999999482,0.996521470403763
16.99,0.995804999999481,0.996532602321934
16.992,0.995817999999481,0.996543648712403
16.994,0.995830999999481,0.996554655156397
16.996,0.995843999999481,0.996565619496106
16.998,0.995856999999481,0.996576573798021
17,0.995869999999481,0.996587531092187
17.002,0.995881999999481,0.996598554701615
17.004,0.99589399999948,0.996609606707169
17.006,0.99590599999948,0.996620763997052
17.008,0.99591799999948,0.996631998692836
17.01,0.99592999999948,0.996643338184612
17.012,0.99594099999948,0.996654807337965
17.014,0.99595199999948,0.996666350299022
17.016,0.99596299999948,0.996678058736011
17.018,0.995973999999479,0.996689806256477
17.02,0.995984999999479,0.996701701913324
17.022,0.995994999999479,0.996713623594233
17.024,0.996004999999479,0.996725614053775
17.026,0.996014999999479,0.996737632929167
17.028,0.996024999999479,0.996749647154288
17.03,0.996034999999479,0.996761646137519
17.032,0.996043999999479,0.996773582691837
17.034,0.996052999999478,0.996785437613713
17.036,0.996061999999478,0.996797201306155
17.038,0.996070999999478,0.996808835809549
17.04,0.996079999999478,0.996820326066869
17.042,0.996087999999478,0.996831710671581
17.044,0.996095999999478,0.996842854155981
17.046,0.996103999999477,0.996853918161987
17.048,0.996111999999477,0.996864728509654
17.05,0.996119999999477,0.996875436132238
17.052,0.996126999999477,0.996885981862976
17.054,0.996133999999477,0.996896339891261
17.056,0.996140999999477,0.996906571218657
17.058,0.996147999999477,0.99691669821365
17.06,0.996154999999477,0.996926729607832
17.062,0.996160999999476,0.996936638347805
17.064,0.996166999999476,0.996946506072457
17.066,0.996172999999476,0.996956309685905
17.068,0.996178999999476,0.996966056423187
17.07,0.996184999999476,0.996975777571178
17.072,0.996189999999476,0.996985443561754
17.074,0.996194999999475,0.996995081444113
17.076,0.996199999999475,0.997004685657663
17.078,0.996204999999475,0.997014226865026
17.08,0.996209999999475,0.997023735517935
17.082,0.996213999999475,0.997033154173531
17.084,0.996217999999475,0.997042495482651
17.086,0.996221999999474,0.997051765348479
17.088,0.996225999999474,0.997060863098535
17.09,0.996229999999474,0.997069879563809
17.092,0.996232999999474,0.9970787060931
17.094,0.996235999999474,0.997087361481885
17.096,0.996238999999474,0.997095895303194
17.098,0.996241999999474,0.997104119244502
17.1,0.996244999999474,0.99711221908512
17.102,0.996246999999473,0.997120069418813
17.104,0.996248999999473,0.997127684399727
17.106,0.996250999999473,0.997135170794227
17.108,0.996252999999473,0.997142302667048
17.11,0.996254999999473,0.997149313205609
17.112,0.996255999999473,0.997156107492882
17.114,0.996256999999473,0.997162679762675
17.116,0.996257999999473,0.997169143838556
17.118,0.996258999999472,0.997175347134633
17.12,0.996259999999472,0.99718144441063
17.122,0.996259999999472,0.997187397812878
17.124,0.996259999999472,0.997193177385256
17.126,0.996259999999472,0.997198880587262
17.128,0.996259999999472,0.997204408788686
17.13,0.996259999999472,0.997209834391353
17.132,0.996258999999471,0.99721515282363
17.134,0.996257999999471,0.997220364845375
17.136,0.996256999999471,0.997225455613412
17.138,0.996255999999471,0.997230439812829
17.14,0.996254999999471,0.997235291476487
17.142,0.996252999999471,0.997240045672594
17.144,0.996250999999471,0.997244667458401
17.146,0.99624899999947,0.997249090692135
17.148,0.99624699999947,0.997253401004562
17.15,0.99624499999947,0.997257553479874
17.152,0.99624199999947,0.997261481860948
17.154,0.99623899999947,0.997265265244683
17.156,0.99623599999947,0.997268814892245
17.158,0.99623299999947,0.99727222717187
17.16,0.996229999999469,0.997275385900925
17.162,0.996225999999469,0.997278399018306
17.164,0.996221999999469,0.997281199136997
17.166,0.996217999999469,0.997283728080347
17.168,0.996213999999469,0.997286116831925
17.17,0.996209999999469,0.997288297655297
17.172,0.996203999999469,0.997290277094455
17.174,0.996197999999469,0.997292074021515
17.176,0.996191999999468,0.997293686770771
17.178,0.996185999999468,0.997295137937397
17.18,0.996179999999468,0.997296410103072
17.182,0.996172999999468,0.99729750626604
17.184,0.996165999999468,0.997298433360576
17.186,0.996158999999468,0.997299183893235
17.188,0.996151999999467,0.997299697074248
17.19,0.996144999999467,0.997299987924386
17.192,0.996137999999467,0.997300164727849
17.194,0.996130999999467,0.997300032986539
17.196,0.996123999999467,0.997299731696592
17.198,0.996116999999467,0.997299246692367
17.2,0.996109999999467,0.9972984711219
17.202,0.996102999999467,0.997297583536114
17.204,0.996095999999467,0.997296475486639
17.206,0.996088999999466,0.997295161307312
17.208,0.996081999999466,0.997293705212569
17.21,0.996074999999466,0.997292131574537
17.212,0.996067999999466,0.99729046098265
17.214,0.996060999999466,0.997288726992713
17.216,0.996053999999466,0.997286947022082
17.218,0.996046999999466,0.997285159222805
17.22,0.996039999999465,0.997283380347548
17.222,0.996032999999465,0.997281633782771
17.224,0.996025999999465,0.997279922770439
17.226,0.996018999999465,0.99727828193563
17.228,0.996011999999465,0.997276668244582
17.23,0.996004999999465,0.997275136639325
17.232,0.995997999999465,0.997273638354517
17.234,0.995990999999465,0.997272163560149
17.236,0.995983999999465,0.997270698946986
17.238,0.995976999999464,0.997269203802147
17.24,0.995969999999464,0.997267658996865
17.242,0.995962999999464,0.997266049717414
17.244,0.995955999999464,0.997264311570182
