t,ref_x,ref_y,ref_z,ref_yaw,meas_x,meas_y,meas_z,roll,pitch,yaw,w1,w2,w3,w4
9.631,0.986741999999935,0,1,0,0.997187927180264,-0.000699990764750272,1.00165055608382,-0.00054265273059393,0.0114023256448898,-0.000200344342374476,0,0,0,0
9.632,0.986703999999936,0,1,0,0.997121540315041,-0.000697452379270808,1.0016503846978,-0.000545402665688511,0.0121943492498671,-0.000199156834401832,0,0,0,0
9.633,0.986665999999935,0,1,0,0.997055222124814,-0.000694906759090786,1.00165021216934,-0.000548418433292849,0.0129870992386653,-0.000197982470135029,0,0,0,0
9.634,0.986627999999935,0,1,0,0.996988934090706,-0.000692361318050655,1.00165003915935,-0.000551366034030994,0.0137801584757937,-0.00019681313466029,0,0,0,0
9.635,0.986589999999935,0,1,0,0.996923065348999,-0.000689818367781905,1.00164985945422,-0.000553365838752108,0.0145775175194202,-0.000195713719798847,0,0,0,0
9.636,0.986551999999935,0,1,0,0.996857196607292,-0.000687275417513155,1.0016496797491,-0.000555365643473223,0.0153748765630467,-0.000194614304937404,0,0,0,0
9.637,0.986513999999935,0,1,0,0.996791490705245,-0.000684745055917678,1.00164949754542,-0.000556362708987817,0.0161738471036275,-0.000193535696547405,0,0,0,0
9.638,0.986475999999935,0,1,0,0.99672613945387,-0.000682242111361946,1.00164930990013,-0.000555175895385961,0.0169763273449536,-0.000192502402849587,0,0,0,0
9.639,0.986437999999935,0,1,0,0.996660788202495,-0.000679739166806215,1.00164912225484,-0.000553989081784104,0.0177788075862797,-0.000191469109151768,0,0,0,0
9.64,0.986399999999935,0,1,0,0.996595765296449,-0.000677274600658148,1.00164892973093,-0.000550093613049443,0.0185843922852071,-0.000190462559577202,0,0,0,0
9.641,0.986373999999935,0,1,0,0.996530998031775,-0.000674839914968251,1.00164873340866,-0.000544089253891858,0.0193923940363526,-0.000189476832301023,0,0,0,0
9.642,0.986347999999936,0,1,0,0.996466230767102,-0.000672405229278354,1.00164853708639,-0.000538084894734274,0.0202003957874982,-0.000188491105024844,0,0,0,0
9.643,0.986321999999935,0,1,0,0.996401988809965,-0.000670039033576209,1.00164833314175,-0.000527435106032016,0.0210130886896261,-0.000187522780442396,0,0,0,0
9.644,0.986295999999935,0,1,0,0.996337870214044,-0.000667688921801265,1.00164812740709,-0.00051569440239397,0.0218268832437359,-0.000186558542642095,0,0,0,0
9.645,0.986269999999935,0,1,0,0.99627379246948,-0.00066534381037214,1.0016479210906,-0.000503618901796253,0.0226410189152286,-0.000185593781368859,0,0,0,0
9.646,0.986243999999936,0,1,0,0.996210385568617,-0.000663080812506963,1.00164770521946,-0.000486045507141818,0.0234607562720956,-0.000184620423844498,0,0,0,0
9.647,0.986217999999936,0,1,0,0.996146978667753,-0.00066081781464179,1.00164748934832,-0.000468472112487415,0.0242804936289613,-0.000183647066320138,0,0,0,0
9.648,0.986191999999936,0,1,0,0.996083807707418,-0.000658577744785924,1.00164727017887,-0.00044935378750468,0.0251020618560732,-0.000182661240908709,0,0,0,0
9.649,0.986165999999935,0,1,0,0.996021174442552,-0.000656389926600488,1.00164704349274,-0.000426714651392114,0.0259278025356409,-0.000181647001869327,0,0,0,0
9.65,0.986139999999936,0,1,0,0.995958541177687,-0.000654202108415055,1.00164681680661,-0.000404075515279588,0.0267535432152072,-0.000180632762829946,0,0,0,0
9.651,0.986126999999935,0,1,0,0.995896369511065,-0.00065204151831644,1.00164658381354,-0.000379520050344458,0.0275826137039855,-0.00017957993708956,0,0,0,0
9.652,0.986113999999936,0,1,0,0.995834571639184,-0.000649902977079036,1.0016463457132,-0.000353412773541814,0.0284143806180294,-0.000178495864467195,0,0,0,0
9.653,0.986100999999936,0,1,0,0.995772773767303,-0.000647764435841636,1.00164610761286,-0.000327305496739217,0.0292461475320717,-0.000177411791844833,0,0,0,0
9.654,0.986087999999935,0,1,0,0.995711694491761,-0.000645634814003601,1.0016458599642,-0.000300279877848997,0.0300827777604062,-0.000176253874135048,0,0,0,0
9.655,0.986074999999936,0,1,0,0.995650794721293,-0.000643507420227897,1.00164560993037,-0.00027302485747908,0.0309206228426713,-0.000175077509952482,0,0,0,0
9.656,0.986061999999935,0,1,0,0.995589940894438,-0.000641378297216135,1.00164535930344,-0.00024585159930664,0.0317587654097214,-0.000173896124370435,0,0,0,0
9.657,0.986048999999936,0,1,0,0.995530004214717,-0.000639214654415285,1.00164509683676,-0.000220310514953438,0.0326028465020282,-0.000172614499349944,0,0,0,0
9.658,0.986035999999936,0,1,0,0.995470067534995,-0.000637051011614434,1.00164483437009,-0.000194769430600236,0.033446927594335,-0.000171332874329454,0,0,0,0
9.659,0.986022999999935,0,1,0,0.9954104355228,-0.000634861135297596,1.001644568051,-0.000170666022184986,0.0342929521158614,-0.000170019898694721,0,0,0,0
9.66,0.986009999999936,0,1,0,0.995351530633587,-0.000632608649773221,1.00164429253769,-0.000149993787509496,0.0351436148476617,-0.000168632101327584,0,0,0,0
9.661,0.986010999999936,0,1,0,0.995292625744375,-0.000630356164248851,1.00164401702438,-0.000129321552834044,0.0359942775794604,-0.000167244303960448,0,0,0,0
9.662,0.986011999999936,0,1,0,0.995234320982027,-0.000628026758788546,1.00164373392311,-0.000113001613747937,0.0368488427817847,-0.000165805699736773,0,0,0,0
9.663,0.986012999999935,0,1,0,0.995176521591025,-0.000625632578471598,1.00164344443197,-0.000100346775515378,0.0377066942838944,-0.000164324310677034,0,0,0,0
9.664,0.986013999999936,0,1,0,0.995118722200024,-0.000623238398154654,1.00164315494084,-8.76919372828411e-05,0.0385645457860025,-0.000162842921617299,0,0,0,0
9.665,0.986014999999936,0,1,0,0.995061783077093,-0.000620708114659452,1.00164285423597,-8.2819582397303e-05,0.0394282409785892,-0.000161311136966521,0,0,0,0
9.666,0.986015999999936,0,1,0,0.99500507203712,-0.000618141746115265,1.001642550558,-8.00105980836279e-05,0.0402934855094063,-0.000159765990927751,0,0,0,0
9.667,0.986016999999936,0,1,0,0.994948849039704,-0.000615488819944505,1.00164224015097,-8.21666237773373e-05,0.041162248032983,-0.000158207157276309,0,0,0,0
9.668,0.986017999999936,0,1,0,0.994893201847724,-0.000612733770810857,1.00164192180483,-9.01804987764641e-05,0.0420351611768852,-0.000156632174619669,0,0,0,0
9.669,0.986018999999936,0,1,0,0.994837697744533,-0.000609952402175328,1.00164160131494,-9.97021156401614e-05,0.0429091644376931,-0.000155057768695269,0,0,0,0
9.67,0.986019999999936,0,1,0,0.994783176599655,-0.000606990229906533,1.00164126609846,-0.000119581269224819,0.0437906563317529,-0.000153487324672786,0,0,0,0
9.671,0.986033999999936,0,1,0,0.994728655454777,-0.000604028057637737,1.00164093088199,-0.000139460422809476,0.0446721482258128,-0.000151916880650302,0,0,0,0
9.672,0.986047999999936,0,1,0,0.994675079012568,-0.000600895518921648,1.00164057997331,-0.000169053181090943,0.0455611437583406,-0.000150381378928468,0,0,0,0
9.673,0.986061999999936,0,1,0,0.994621745588227,-0.000597719154680033,1.00164022502793,-0.000201144693307869,0.046452069547114,-0.000148854865858533,0,0,0,0
9.674,0.986075999999936,0,1,0,0.994568989870331,-0.00059444614451835,1.00163985932402,-0.000238697867254941,0.0473476582034453,-0.000147368265953155,0,0,0,0
9.675,0.986089999999936,0,1,0,0.994516902278991,-0.000591061361835807,1.00163948117771,-0.000282567538568937,0.048248639539169,-0.000145927826247963,0,0,0,0
9.676,0.986103999999936,0,1,0,0.994464985943047,-0.000587651588927186,1.0016390994518,-0.000327827990522094,0.0491509741711186,-0.000144504316007284,0,0,0,0
9.677,0.986117999999936,0,1,0,0.994414195440459,-0.000584077530217406,1.00163869419359,-0.00038223143745195,0.050062205375439,-0.000143192100103481,0,0,0,0
9.678,0.986131999999936,0,1,0,0.994363404937871,-0.00058050347150762,1.00163828893537,-0.000436634884381902,0.0509734365797612,-0.000141879884199676,0,0,0,0
9.679,0.986145999999936,0,1,0,0.994313685643962,-0.00057680349284575,1.00163785876345,-0.000497854147610918,0.0518925417073043,-0.000140701373218515,0,0,0,0
9.68,0.986159999999936,0,1,0,0.994264233566322,-0.000573072103068098,1.00163742237674,-0.000560773636986577,0.0528136110089907,-0.000139556215337766,0,0,0,0
9.681,0.986185999999936,0,1,0,0.994215422371825,-0.000569287150579214,1.00163696970308,-0.000626425464006801,0.0537387498146583,-0.000138504421646905,0,0,0,0
9.682,0.986211999999936,0,1,0,0.99416733774548,-0.000565441474133746,1.00163649856496,-0.000695174937668051,0.0546685022102145,-0.000137558474782775,0,0,0,0
9.683,0.986237999999936,0,1,0,0.994119442545773,-0.000561587182964514,1.00163602231221,-0.000764286461913447,0.0555991732944532,-0.000136642883166129,0,0,0,0
9.684,0.986263999999936,0,1,0,0.994072740702364,-0.000557678620468598,1.00163551383813,-0.000835678844613388,0.0565356319645727,-0.000135918524559164,0,0,0,0
9.685,0.986289999999936,0,1,0,0.994026038858956,-0.000553770057972688,1.00163500536405,-0.000907071227313203,0.0574720906346906,-0.0001351941659522,0,0,0,0
9.686,0.986315999999936,0,1,0,0.993980451659869,-0.000549856124634841,1.00163446617176,-0.000977794943392175,0.0584116844382257,-0.000134656264401919,0,0,0,0
9.687,0.986341999999936,0,1,0,0.993935133936438,-0.000545940892845881,1.00163391955306,-0.00104835700308128,0.0593520361894948,-0.000134163440583513,0,0,0,0
9.688,0.986367999999936,0,1,0,0.99389046609989,-0.000542049531943999,1.00163335568142,-0.00111685897949744,0.0602925246180383,-0.000133778378517775,0,0,0,0
9.689,0.986393999999936,0,1,0,0.993846520520842,-0.000538184700162374,1.0016327726356,-0.00118307146425426,0.061233164944069,-0.00013351307842338,0,0,0,0
9.69,0.986419999999936,0,1,0,0.993802766337531,-0.000534334684572125,1.00163218511574,-0.00124819438237143,0.0621732356494048,-0.000133277508022437,0,0,0,0
9.691,0.986456999999936,0,1,0,0.993760169107134,-0.000530574230203054,1.00163157055114,-0.00130673106544848,0.06310986309974,-0.000133221648289587,0,0,0,0
9.692,0.986493999999936,0,1,0,0.993717571876737,-0.000526813775833977,1.00163095598655,-0.00136526774852563,0.0640464905500769,-0.000133165788556737,0,0,0,0
9.693,0.986530999999936,0,1,0,0.993676040018097,-0.000523176297791039,1.00163032282999,-0.00141521808264475,0.0649759237599046,-0.000133254750051889,0,0,0,0
9.694,0.986567999999936,0,1,0,0.993634757626664,-0.000519567615856399,1.00162968531996,-0.00146315783926285,0.0659036723680264,-0.000133377622852548,0,0,0,0
9.695,0.986604999999936,0,1,0,0.993594085042728,-0.000516049815386677,1.00162904277474,-0.00150490060228021,0.0668246500969781,-0.000133566695036647,0,0,0,0
9.696,0.986641999999936,0,1,0,0.993554076833199,-0.000512631028654089,1.00162839474379,-0.00153989185115882,0.0677382510736827,-0.00013382789026977,0,0,0,0
9.697,0.986678999999936,0,1,0,0.99351424921744,-0.00050924412879546,1.00162774753248,-0.00157273448701125,0.0686489676746721,-0.000134102640380319,0,0,0,0
9.698,0.986715999999936,0,1,0,0.993475470313988,-0.000506042396770186,1.0016271050808,-0.00159310007606052,0.0695429346374742,-0.00013445610398558,0,0,0,0
9.699,0.986752999999936,0,1,0,0.993436691410536,-0.000502840664744917,1.00162646262913,-0.00161346566510975,0.0704369016002747,-0.00013480956759084,0,0,0,0
9.7,0.986789999999936,0,1,0,0.993398877264358,-0.000499828540855796,1.00162584038152,-0.00162112615350659,0.071310378594976,-0.000135199904585119,0,0,0,0
9.701,0.986836999999936,0,1,0,0.993361281782993,-0.000496859392156983,1.00162522271323,-0.00162590699691784,0.0721792114837009,-0.000135598599031473,0,0,0,0
9.702,0.986883999999936,0,1,0,0.993324237496961,-0.000494004686534214,1.00162462735652,-0.00162303132115613,0.0730333287653711,-0.000135998173802641,0,0,0,0
